idCustomers,First_name,Last_name,DOB,Driving_License_No,Street,City,State,ZipCode,PhoneNumber,Agent_Number
1020,Angelo,Besnardeau,9/6/1991,200851192,06 Larry Drive,Atlanta,GA,30607,770-702-1304,104
1021,Fernande,Hullot,6/3/1981,568938756,18554 Northridge Drive,Athens,GA,30445,706-363-6094,103
1022,Kahlil,Padginton,11/16/1989,319433872,6 Oneill Street,Atlanta,GA,30093,404-360-1906,110
1023,Kristyn,Swiffen,3/21/1978,74198666,4521 Dawn Plaza,Atlanta,GA,30090,404-545-4950,102
1024,Ramonda,Joost,5/20/1982,556132848,57 Annamark Drive,Atlanta,GA,30241,404-884-8993,108
1025,Deeann,O'Lenechan,12/9/1997,452961198,11511 Mifflin Plaza,Augusta,GA,30151,706-627-3597,102
1026,Adriane,Pearcy,2/25/1982,491841788,808 Judy Circle,Atlanta,GA,30567,404-620-0876,110
1027,Jaine,Woodger,11/6/1984,184740990,376 Namekagon Alley,Gainesville,GA,30227,404-689-8574,106
1028,Louise,Carlile,1/16/1992,333040183,38 Debs Road,Macon,GA,30442,478-757-3079,109
1029,Torrie,Simpson,2/18/1979,166522138,47 Sunfield Park,Athens,GA,30503,706-206-1495,102
1030,Manon,Humbie,1/16/1991,255021787,79 Thierer Crossing,Atlanta,GA,30142,404-949-7458,110
1031,Karee,Fleming,5/28/1975,258595546,8120 Rowland Crossing,Atlanta,GA,30010,678-570-4905,105
1032,Mack,Douris,5/12/1971,408385913,2 Logan Plaza,Atlanta,GA,30038,678-969-2495,112
1033,Gertrude,Goulter,12/10/1975,415215858,037 Delaware Lane,Atlanta,GA,30104,404-540-3924,104
1034,Olimpia,Rhoades,7/10/1989,226956450,048 Canary Alley,Atlanta,GA,30346,404-278-7983,107
1035,Louise,Vauter,9/10/1981,267877286,368 Nancy Alley,Savannah,GA,30488,912-864-3911,112
1036,Ardenia,Rainville,11/1/1993,386378644,56255 Parkside Court,Duluth,GA,30594,404-753-3425,111
1037,Evonne,Benck,12/5/1996,374785852,864 Clarendon Circle,Atlanta,GA,30036,770-505-8762,110
1038,Lancelot,Nayshe,3/28/1971,370547038,344 Sunbrook Street,Atlanta,GA,30383,770-892-3813,113
1039,Betty,Pomery,2/7/1981,432309520,1119 Eggendart Center,Augusta,GA,30074,706-901-9981,109
1040,Marci,Brewett,8/12/1991,376363287,9 Butternut Road,Augusta,GA,30480,706-791-1901,105
1041,Jorry,Downs,7/5/1991,357483811,3 East Trail,Alpharetta,GA,30224,770-568-4047,113
1042,Kaitlyn,Klainman,4/6/1974,479921952,363 Delladonna Avenue,Atlanta,GA,30334,404-452-6676,103
1043,Tori,Cutchie,8/19/1990,358103091,88 Prentice Way,Atlanta,GA,30483,404-290-4706,112
1044,Tabitha,Risdale,9/3/1998,461264665,929 Hansons Point,Macon,GA,30467,478-994-8078,111
1045,Gerome,McEwen,1/27/1998,142308360,71 7th Pass,Atlanta,GA,30260,404-484-6871,113
1046,Sullivan,Mattes,12/21/1972,59405969,6 Gateway Way,Athens,GA,30464,706-766-5291,101
1047,Lisle,Legonidec,5/19/1994,521198905,532 Stone Corner Parkway,Gainesville,GA,30560,678-494-2471,110
1048,Roslyn,Ife,10/6/1972,400136134,05010 Anderson Plaza,Atlanta,GA,30132,770-641-5773,112
1049,Darnell,De Filippo,11/29/1975,560140076,2437 Montana Hill,Lawrenceville,GA,30049,770-627-5306,113
1050,Kailey,Dioniso,9/29/1972,215396808,7112 Tennyson Hill,Athens,GA,30143,706-785-7750,110
